year,month,state,num_visits,num_unique_visitors
2019,7,ALL_STATES,949813675,37310640
2019,7,ak,1414398,99155
2019,7,al,20342915,983243
2019,7,ar,10236356,519591
2019,7,as,75,53
2019,7,az,17417446,888247
2019,7,ca,103644741,4244256
2019,7,co,15813004,922014
2019,7,ct,7608728,515007
2019,7,dc,3340508,540145
2019,7,de,2742850,246351
2019,7,fl,75649495,3635790
2019,7,ga,38888937,1792007
2019,7,gu,11283,2122
2019,7,hi,5649108,192015
2019,7,ia,9070588,536884
2019,7,id,3897475,252900
2019,7,il,36325421,2069441
2019,7,in,18459905,1124175
2019,7,ks,8772635,501884
2019,7,ky,12725104,855671
2019,7,la,15396707,794210
2019,7,ma,14960903,1022079
2019,7,md,15933561,1023910
2019,7,me,2720073,202797
2019,7,mi,24866606,1439868
2019,7,mn,13075061,849324
2019,7,mo,20684436,1112916
2019,7,ms,10559846,581191
2019,7,mt,2225519,163503
2019,7,nc,33513854,1701099
2019,7,nd,1904132,127070
2019,7,ne,5876837,347203
2019,7,nh,3076852,237198
2019,7,nj,27149243,1602938
2019,7,nm,4104160,348772
2019,7,nv,12165776,752796
2019,7,ny,51653757,3152243
2019,7,oh,31129246,1761767
2019,7,ok,13627008,661976
2019,7,or,9720013,558604
2019,7,pa,29042604,2003016
2019,7,pr,531540,111543
2019,7,ri,2445704,200281
2019,7,sc,18731039,1038144
2019,7,sd,2264471,169726
2019,7,tn,24336103,1322357
2019,7,tx,99448418,4018608
2019,7,ut,7559307,452214
2019,7,va,22529219,1361580
2019,7,vi,1587,513
2019,7,vt,961706,93296
2019,7,wa,16405780,953862
2019,7,wi,13812692,868294
2019,7,wv,3944231,328888
2019,7,wy,1444712,149068
