Rank,City,Population
1,Columbus,"892,533"
2,Cleveland,"383,793"
3,Cincinnati,"302,605"
4,Toledo,"274,975"
5,Akron,"198,006"
6,Dayton,"140,640"
7,Parma,"78,751"
8,Canton,"70,458"
9,Youngstown,"64,958"
10,Lorain,"64,028"
11,Hamilton,"62,174"
12,Springfield,"59,282"
13,Kettering,"55,103"
14,Elyria,"53,881"
15,Lakewood,"50,100"
16,Newark,"50,029"
17,Cuyahoga Falls,"49,272"
18,Middletown,"48,861"
19,Dublin,"48,647"
20,Beavercreek,"47,391"
21,Mentor,"47,273"
22,Euclid,"46,946"
23,Mansfield,"46,560"
24,Strongsville,"44,853"
25,Cleveland Heights,"44,373"
26,Fairfield,"42,613"
27,Grove City,"41,625"
28,Findlay,"41,324"
29,Lancaster,"40,414"
30,Westerville,"40,387"
31,Delaware,"39,930"
32,Warren,"38,382"
33,Reynoldsburg,"38,278"
34,Huber Heights,"38,174"
35,Lima,"36,862"
36,Hilliard,"36,414"
37,Marion,"36,087"
38,Gahanna,"35,551"
39,Upper Arlington,"35,522"
40,Brunswick,"34,897"
41,Stow,"34,857"
42,Boardman,"34,717"
43,North Ridgeville,"33,889"
44,Fairborn,"33,658"
45,Mason,"33,586"
46,Massillon,"32,410"
47,Westlake,"32,233"
48,North Olmsted,"31,591"
49,Bowling Green,"31,578"
50,North Royalton,"30,239"
51,Kent,"29,662"
52,Austintown,"28,438"
53,Garfield Heights,"27,687"
54,Shaker Heights,"27,302"
55,Xenia,"26,783"
56,Wooster,"26,560"
57,Troy,"26,132"
58,Barberton and Medina,"26,072"
59,Green,"25,783"
60,Zanesville,"25,364"
61,Riverside,"25,151"
62,Sandusky,"24,714"
63,Athens,"24,688"
64,Trotwood,"24,435"
65,Avon Lake,"24,391"
66,Marysville,"24,267"
67,Wadsworth,"23,781"
68,Centerville city,"23,772"
69,Avon,"23,263"
70,Willoughby,"22,988"
71,Solon,"22,911"
72,Oxford,"22,885"
73,Hudson,"22,285"
74,Maple Heights,"22,278"
